Municipios;Tipo de vivienda;Total
39089  Tudanca;2 Total viviendas familiares;241
39089  Tudanca;2.1 Total viviendas principales;78
31232  Tudela;2 Total viviendas familiares;16.144
31232  Tudela;2.1 Total viviendas principales;14.063
47175  Tudela de Duero;2 Total viviendas familiares;5.039
47175  Tudela de Duero;2.1 Total viviendas principales;3.320
26158  Tudelilla;2 Total viviendas familiares;403
26158  Tudelilla;2.1 Total viviendas principales;154
46247  Tuéjar;2 Total viviendas familiares;1.250
46247  Tuéjar;2.1 Total viviendas principales;542
36055  Tui;2 Total viviendas familiares;7.344
36055  Tui;2.1 Total viviendas principales;5.870
35030  Tuineje;2 Total viviendas familiares;6.379
35030  Tuineje;2.1 Total viviendas principales;4.908
31233  Tulebras;2 Total viviendas familiares;106
31233  Tulebras;2.1 Total viviendas principales;50
24173  Turcia;2 Total viviendas familiares;885
24173  Turcia;2.1 Total viviendas principales;487
40208  Turégano;2 Total viviendas familiares;1.056
40208  Turégano;2.1 Total viviendas principales;409
46248  Turís;2 Total viviendas familiares;3.843
46248  Turís;2.1 Total viviendas principales;2.399
45175  Turleque;2 Total viviendas familiares;580
45175  Turleque;2.1 Total viviendas principales;320
18181  Turón;2 Total viviendas familiares;262
18181  Turón;2.1 Total viviendas principales;146
04093  Turre;2 Total viviendas familiares;3.231
04093  Turre;2.1 Total viviendas principales;1.476
04094  Turrillas;2 Total viviendas familiares;180
04094  Turrillas;2.1 Total viviendas principales;103
23092  Úbeda;2 Total viviendas familiares;17.886
23092  Úbeda;2.1 Total viviendas principales;12.959
48088  Ubide;2 Total viviendas familiares;132
48088  Ubide;2.1 Total viviendas principales;89
11038  Ubrique;2 Total viviendas familiares;8.575
11038  Ubrique;2.1 Total viviendas principales;6.343
31234  Ucar;2 Total viviendas familiares;122
31234  Ucar;2.1 Total viviendas principales;76
19293  Uceda;2 Total viviendas familiares;2.598
19293  Uceda;2.1 Total viviendas principales;1.072
42189  Ucero;2 Total viviendas familiares;135
42189  Ucero;2.1 Total viviendas principales;31
16218  Uclés;2 Total viviendas familiares;289
16218  Uclés;2.1 Total viviendas principales;109
39090  Udías;2 Total viviendas familiares;622
39090  Udías;2.1 Total viviendas principales;304
48065  Ugao-Miraballes;2 Total viviendas familiares;1.897
48065  Ugao-Miraballes;2.1 Total viviendas principales;1.638
45176  Ugena;2 Total viviendas familiares;2.395
45176  Ugena;2.1 Total viviendas principales;1.729
18182  Ugíjar;2 Total viviendas familiares;1.807
18182  Ugíjar;2.1 Total viviendas principales;946
31123  Uharte-Arakil;2 Total viviendas familiares;467
31123  Uharte-Arakil;2.1 Total viviendas principales;298
19294  Ujados;2 Total viviendas familiares;61
19294  Ujados;2.1 Total viviendas principales;13
31235  Ujué;2 Total viviendas familiares;296
31235  Ujué;2.1 Total viviendas principales;100
30040  Ulea;2 Total viviendas familiares;504
30040  Ulea;2.1 Total viviendas principales;369
04095  Uleila del Campo;2 Total viviendas familiares;702
04095  Uleila del Campo;2.1 Total viviendas principales;394
17204  Ullà;2 Total viviendas familiares;459
17204  Ullà;2.1 Total viviendas principales;335
08290  Ullastrell;2 Total viviendas familiares;829
08290  Ullastrell;2.1 Total viviendas principales;688
17205  Ullastret;2 Total viviendas familiares;162
17205  Ullastret;2.1 Total viviendas principales;99
43156  Ulldecona;2 Total viviendas familiares;3.976
43156  Ulldecona;2.1 Total viviendas principales;2.632
43157  Ulldemolins;2 Total viviendas familiares;479
43157  Ulldemolins;2.1 Total viviendas principales;200
17203  Ultramort;2 Total viviendas familiares;108
17203  Ultramort;2.1 Total viviendas principales;77
31236  Ultzama;2 Total viviendas familiares;765
31236  Ultzama;2.1 Total viviendas principales;548
41094  Umbrete;2 Total viviendas familiares;3.432
41094  Umbrete;2.1 Total viviendas principales;2.825
05249  Umbrías;2 Total viviendas familiares;275
05249  Umbrías;2.1 Total viviendas principales;51
50267  Uncastillo;2 Total viviendas familiares;719
50267  Uncastillo;2.1 Total viviendas principales;290
31237  Unciti;2 Total viviendas familiares;133
31237  Unciti;2.1 Total viviendas principales;102
50268  Undués de Lerda;2 Total viviendas familiares;64
50268  Undués de Lerda;2.1 Total viviendas principales;32
47176  Unión de Campos, La;2 Total viviendas familiares;235
47176  Unión de Campos, La;2.1 Total viviendas principales;118
30041  Unión, La;2 Total viviendas familiares;8.532
30041  Unión, La;2.1 Total viviendas principales;6.546
31238  Unzué/Untzue;2 Total viviendas familiares;96
31238  Unzué/Untzue;2.1 Total viviendas principales;65
16219  Uña;2 Total viviendas familiares;123
16219  Uña;2.1 Total viviendas principales;58
49225  Uña de Quintana;2 Total viviendas familiares;189
49225  Uña de Quintana;2.1 Total viviendas principales;81
09398  Úrbel del Castillo;2 Total viviendas familiares;95
09398  Úrbel del Castillo;2.1 Total viviendas principales;41
45177  Urda;2 Total viviendas familiares;1.887
45177  Urda;2.1 Total viviendas principales;1.115
31239  Urdazubi/Urdax;2 Total viviendas familiares;179
31239  Urdazubi/Urdax;2.1 Total viviendas principales;135
31240  Urdiain;2 Total viviendas familiares;353
31240  Urdiain;2.1 Total viviendas principales;274
24174  Urdiales del Páramo;2 Total viviendas familiares;444
24174  Urdiales del Páramo;2.1 Total viviendas principales;238
48089  Urduliz;2 Total viviendas familiares;1.636
48089  Urduliz;2.1 Total viviendas principales;1.315
48074  Urduña/Orduña;2 Total viviendas familiares;2.244
48074  Urduña/Orduña;2.1 Total viviendas principales;1.728
01054  Urkabustaiz;2 Total viviendas familiares;780
01054  Urkabustaiz;2.1 Total viviendas principales;585
20072  Urnieta;2 Total viviendas familiares;2.619
20072  Urnieta;2.1 Total viviendas principales;2.272
47177  Urones de Castroponce;2 Total viviendas familiares;85
47177  Urones de Castroponce;2.1 Total viviendas principales;49
04096  Urrácal;2 Total viviendas familiares;257
04096  Urrácal;2.1 Total viviendas principales;134
31241  Urraul Alto;2 Total viviendas familiares;118
31241  Urraul Alto;2.1 Total viviendas principales;68
31242  Urraul Bajo;2 Total viviendas familiares;175
31242  Urraul Bajo;2.1 Total viviendas principales;133
44237  Urrea de Gaén;2 Total viviendas familiares;407
44237  Urrea de Gaén;2.1 Total viviendas principales;204
50269  Urrea de Jalón;2 Total viviendas familiares;326
50269  Urrea de Jalón;2.1 Total viviendas principales;159
20077  Urretxu;2 Total viviendas familiares;2.987
20077  Urretxu;2.1 Total viviendas principales;2.747
50270  Urriés;2 Total viviendas familiares;81
50270  Urriés;2.1 Total viviendas principales;18
31244  Urrotz;2 Total viviendas familiares;73
31244  Urrotz;2.1 Total viviendas principales;50
31243  Urroz-Villa;2 Total viviendas familiares;232
31243  Urroz-Villa;2.1 Total viviendas principales;163
47178  Urueña;2 Total viviendas familiares;201
47178  Urueña;2.1 Total viviendas principales;73
40210  Urueñas;2 Total viviendas familiares;195
40210  Urueñas;2.1 Total viviendas principales;41
26160  Uruñuela;2 Total viviendas familiares;720
26160  Uruñuela;2.1 Total viviendas principales;349
17206  Urús;2 Total viviendas familiares;312
17206  Urús;2.1 Total viviendas principales;71
31245  Urzainqui/Urzainki;2 Total viviendas familiares;74
31245  Urzainqui/Urzainki;2.1 Total viviendas principales;44
06136  Usagre;2 Total viviendas familiares;1.072
06136  Usagre;2.1 Total viviendas principales;733
50271  Used;2 Total viviendas familiares;365
50271  Used;2.1 Total viviendas principales;131
12122  Useras/Useres, les;2 Total viviendas familiares;855
12122  Useras/Useres, les;2.1 Total viviendas principales;400
20073  Usurbil;2 Total viviendas familiares;2.857
20073  Usurbil;2.1 Total viviendas principales;2.243
19296  Utande;2 Total viviendas familiares;86
19296  Utande;2.1 Total viviendas principales;22
50272  Utebo;2 Total viviendas familiares;7.918
50272  Utebo;2.1 Total viviendas principales;6.778
31246  Uterga;2 Total viviendas familiares;123
31246  Uterga;2.1 Total viviendas principales;73
46249  Utiel;2 Total viviendas familiares;7.154
46249  Utiel;2.1 Total viviendas principales;4.841
41095  Utrera;2 Total viviendas familiares;22.604
41095  Utrera;2.1 Total viviendas principales;18.326
44238  Utrillas;2 Total viviendas familiares;1.733
44238  Utrillas;2.1 Total viviendas principales;1.175
31247  Uztárroz/Uztarroze;2 Total viviendas familiares;120
31247  Uztárroz/Uztarroze;2.1 Total viviendas principales;81
08291  Vacarisses;2 Total viviendas familiares;3.941
08291  Vacarisses;2.1 Total viviendas principales;2.259
42190  Vadillo;2 Total viviendas familiares;92
42190  Vadillo;2.1 Total viviendas principales;62
49226  Vadillo de la Guareña;2 Total viviendas familiares;288
49226  Vadillo de la Guareña;2.1 Total viviendas principales;127
05251  Vadillo de la Sierra;2 Total viviendas familiares;358
05251  Vadillo de la Sierra;2.1 Total viviendas principales;48
09400  Vadocondes;2 Total viviendas familiares;400
09400  Vadocondes;2.1 Total viviendas principales;167
17014  Vajol, La;2 Total viviendas familiares;76
17014  Vajol, La;2.1 Total viviendas principales;34
24185  Val de San Lorenzo;2 Total viviendas familiares;469
24185  Val de San Lorenzo;2.1 Total viviendas principales;232
50274  Val de San Martín;2 Total viviendas familiares;118
50274  Val de San Martín;2.1 Total viviendas principales;37
39095  Val de San Vicente;2 Total viviendas familiares;2.468
39095  Val de San Vicente;2.1 Total viviendas principales;1.189
15088  Val do Dubra;2 Total viviendas familiares;2.068
15088  Val do Dubra;2.1 Total viviendas principales;1.532
44239  Valacloche;2 Total viviendas familiares;62
44239  Valacloche;2.1 Total viviendas principales;13
27063  Valadouro, O;2 Total viviendas familiares;1.575
27063  Valadouro, O;2.1 Total viviendas principales;911
44240  Valbona;2 Total viviendas familiares;327
44240  Valbona;2.1 Total viviendas principales;93
47179  Valbuena de Duero;2 Total viviendas familiares;285
47179  Valbuena de Duero;2.1 Total viviendas principales;204
34186  Valbuena de Pisuerga;2 Total viviendas familiares;47
34186  Valbuena de Pisuerga;2.1 Total viviendas principales;31
49227  Valcabado;2 Total viviendas familiares;335
49227  Valcabado;2.1 Total viviendas principales;140
39091  Valdáliga;2 Total viviendas familiares;1.484
39091  Valdáliga;2.1 Total viviendas principales;927
28155  Valdaracete;2 Total viviendas familiares;470
28155  Valdaracete;2.1 Total viviendas principales;250
19297  Valdarachas;2 Total viviendas familiares;44
19297  Valdarachas;2.1 Total viviendas principales;13
10196  Valdastillas;2 Total viviendas familiares;321
10196  Valdastillas;2.1 Total viviendas principales;161
44241  Valdealgorfa;2 Total viviendas familiares;517
44241  Valdealgorfa;2.1 Total viviendas principales;259
09403  Valdeande;2 Total viviendas familiares;203
09403  Valdeande;2.1 Total viviendas principales;51
47180  Valdearcos de la Vega;2 Total viviendas familiares;93
47180  Valdearcos de la Vega;2.1 Total viviendas principales;52
19298  Valdearenas;2 Total viviendas familiares;123
19298  Valdearenas;2.1 Total viviendas principales;48
19299  Valdeavellano;2 Total viviendas familiares;193
19299  Valdeavellano;2.1 Total viviendas principales;50
42191  Valdeavellano de Tera;2 Total viviendas familiares;243
42191  Valdeavellano de Tera;2.1 Total viviendas principales;85
28156  Valdeavero;2 Total viviendas familiares;922
28156  Valdeavero;2.1 Total viviendas principales;556
19300  Valdeaveruelo;2 Total viviendas familiares;721
19300  Valdeaveruelo;2.1 Total viviendas principales;403
06137  Valdecaballeros;2 Total viviendas familiares;1.104
06137  Valdecaballeros;2.1 Total viviendas principales;500
10197  Valdecañas de Tajo;2 Total viviendas familiares;150
10197  Valdecañas de Tajo;2.1 Total viviendas principales;54
37330  Valdecarros;2 Total viviendas familiares;287
37330  Valdecarros;2.1 Total viviendas principales;151
05252  Valdecasa;2 Total viviendas familiares;88
05252  Valdecasa;2.1 Total viviendas principales;39
16906  Valdecolmenas, Los;2 Total viviendas familiares;198
16906  Valdecolmenas, Los;2.1 Total viviendas principales;53
19301  Valdeconcha;2 Total viviendas familiares;157
19301  Valdeconcha;2.1 Total viviendas principales;19
44243  Valdecuenca;2 Total viviendas familiares;98
44243  Valdecuenca;2.1 Total viviendas principales;22
49228  Valdefinjas;2 Total viviendas familiares;89
49228  Valdefinjas;2.1 Total viviendas principales;28
24175  Valdefresno;2 Total viviendas familiares;1.503
24175  Valdefresno;2.1 Total viviendas principales;876
10198  Valdefuentes;2 Total viviendas familiares;995
10198  Valdefuentes;2.1 Total viviendas principales;564
37331  Valdefuentes de Sangusín;2 Total viviendas familiares;181
37331  Valdefuentes de Sangusín;2.1 Total viviendas principales;110
24176  Valdefuentes del Páramo;2 Total viviendas familiares;210
24176  Valdefuentes del Páramo;2.1 Total viviendas principales;153
02075  Valdeganga;2 Total viviendas familiares;1.185
02075  Valdeganga;2.1 Total viviendas principales;780
42192  Valdegeña;2 Total viviendas familiares;39
42192  Valdegeña;2.1 Total viviendas principales;14
01055  Valdegovía/Gaubea;2 Total viviendas familiares;1.050
01055  Valdegovía/Gaubea;2.1 Total viviendas principales;515
19302  Valdegrudas;2 Total viviendas familiares;77
19302  Valdegrudas;2.1 Total viviendas principales;33
37332  Valdehijaderos;2 Total viviendas familiares;135
37332  Valdehijaderos;2.1 Total viviendas principales;43
50273  Valdehorna;2 Total viviendas familiares;53
50273  Valdehorna;2.1 Total viviendas principales;20
10199  Valdehúncar;2 Total viviendas familiares;196
10199  Valdehúncar;2.1 Total viviendas principales;99
06901  Valdelacalzada;2 Total viviendas familiares;1.156
06901  Valdelacalzada;2.1 Total viviendas principales;1.019
37333  Valdelacasa;2 Total viviendas familiares;271
37333  Valdelacasa;2.1 Total viviendas principales;104
10200  Valdelacasa de Tajo;2 Total viviendas familiares;519
10200  Valdelacasa de Tajo;2.1 Total viviendas principales;258
37334  Valdelageve;2 Total viviendas familiares;69
37334  Valdelageve;2.1 Total viviendas principales;45
42193  Valdelagua del Cerro;2 Total viviendas familiares;36
42193  Valdelagua del Cerro;2.1 Total viviendas principales;10
28157  Valdelaguna;2 Total viviendas familiares;728
28157  Valdelaguna;2.1 Total viviendas principales;319
21071  Valdelarco;2 Total viviendas familiares;275
21071  Valdelarco;2.1 Total viviendas principales;105
19303  Valdelcubo;2 Total viviendas familiares;80
19303  Valdelcubo;2.1 Total viviendas principales;35
44244  Valdelinares;2 Total viviendas familiares;263
44244  Valdelinares;2.1 Total viviendas principales;55
37335  Valdelosa;2 Total viviendas familiares;314
37335  Valdelosa;2.1 Total viviendas principales;216
44245  Valdeltormo;2 Total viviendas familiares;279
44245  Valdeltormo;2.1 Total viviendas principales;138
24177  Valdelugueros;2 Total viviendas familiares;502
24177  Valdelugueros;2.1 Total viviendas principales;244
26161  Valdemadera;2 Total viviendas familiares;61
26161  Valdemadera;2.1 Total viviendas principales;5
42194  Valdemaluque;2 Total viviendas familiares;330
42194  Valdemaluque;2.1 Total viviendas principales;97
28158  Valdemanco;2 Total viviendas familiares;1.148
28158  Valdemanco;2.1 Total viviendas principales;380
13086  Valdemanco del Esteras;2 Total viviendas familiares;324
13086  Valdemanco del Esteras;2.1 Total viviendas principales;122
28159  Valdemaqueda;2 Total viviendas familiares;988
28159  Valdemaqueda;2.1 Total viviendas principales;351
16224  Valdemeca;2 Total viviendas familiares;239
16224  Valdemeca;2.1 Total viviendas principales;43
37336  Valdemierque;2 Total viviendas familiares;61
37336  Valdemierque;2.1 Total viviendas principales;20
24178  Valdemora;2 Total viviendas familiares;76
24178  Valdemora;2.1 Total viviendas principales;39
10201  Valdemorales;2 Total viviendas familiares;203
10201  Valdemorales;2.1 Total viviendas principales;110
28160  Valdemorillo;2 Total viviendas familiares;7.054
28160  Valdemorillo;2.1 Total viviendas principales;4.412
16225  Valdemorillo de la Sierra;2 Total viviendas familiares;149
16225  Valdemorillo de la Sierra;2.1 Total viviendas principales;45
28161  Valdemoro;2 Total viviendas familiares;27.598
28161  Valdemoro;2.1 Total viviendas principales;24.839
16227  Valdemoro-Sierra;2 Total viviendas familiares;381
16227  Valdemoro-Sierra;2.1 Total viviendas principales;60
42195  Valdenebro;2 Total viviendas familiares;124
42195  Valdenebro;2.1 Total viviendas principales;64
47181  Valdenebro de los Valles;2 Total viviendas familiares;129
47181  Valdenebro de los Valles;2.1 Total viviendas principales;76
19304  Valdenuño Fernández;2 Total viviendas familiares;382
19304  Valdenuño Fernández;2.1 Total viviendas principales;119
10202  Valdeobispo;2 Total viviendas familiares;530
10202  Valdeobispo;2.1 Total viviendas principales;320
39092  Valdeolea;2 Total viviendas familiares;909
39092  Valdeolea;2.1 Total viviendas principales;527
16228  Valdeolivas;2 Total viviendas familiares;454
16228  Valdeolivas;2.1 Total viviendas principales;101
34189  Valdeolmillos;2 Total viviendas familiares;73
34189  Valdeolmillos;2.1 Total viviendas principales;27
28162  Valdeolmos-Alalpardo;2 Total viviendas familiares;1.870
28162  Valdeolmos-Alalpardo;2.1 Total viviendas principales;1.254
13087  Valdepeñas;2 Total viviendas familiares;15.952
13087  Valdepeñas;2.1 Total viviendas principales;11.257
23093  Valdepeñas de Jaén;2 Total viviendas familiares;2.456
23093  Valdepeñas de Jaén;2.1 Total viviendas principales;1.556
19305  Valdepeñas de la Sierra;2 Total viviendas familiares;462
19305  Valdepeñas de la Sierra;2.1 Total viviendas principales;101
24179  Valdepiélago;2 Total viviendas familiares;570
24179  Valdepiélago;2.1 Total viviendas principales;193
28163  Valdepiélagos;2 Total viviendas familiares;469
28163  Valdepiélagos;2.1 Total viviendas principales;211
24180  Valdepolo;2 Total viviendas familiares;1.129
24180  Valdepolo;2.1 Total viviendas principales;572
42196  Valdeprado;2 Total viviendas familiares;92
42196  Valdeprado;2.1 Total viviendas principales;10
39093  Valdeprado del Río;2 Total viviendas familiares;527
39093  Valdeprado del Río;2.1 Total viviendas principales;190
40211  Valdeprados;2 Total viviendas familiares;92
40211  Valdeprados;2.1 Total viviendas principales;43
24181  Valderas;2 Total viviendas familiares;1.425
24181  Valderas;2.1 Total viviendas principales;751
34190  Valderrábano;2 Total viviendas familiares;75
34190  Valderrábano;2.1 Total viviendas principales;21
19306  Valderrebollo;2 Total viviendas familiares;108
19306  Valderrebollo;2.1 Total viviendas principales;27
39094  Valderredible;2 Total viviendas familiares;1.997
39094  Valderredible;2.1 Total viviendas principales;655
24182  Valderrey;2 Total viviendas familiares;483
24182  Valderrey;2.1 Total viviendas principales;242
44246  Valderrobres;2 Total viviendas familiares;1.731
44246  Valderrobres;2.1 Total viviendas principales;928
42197  Valderrodilla;2 Total viviendas familiares;99
42197  Valderrodilla;2.1 Total viviendas principales;44
37337  Valderrodrigo;2 Total viviendas familiares;101
37337  Valderrodrigo;2.1 Total viviendas principales;56
24183  Valderrueda;2 Total viviendas familiares;1.196
24183  Valderrueda;2.1 Total viviendas principales;445
33034  Valdés;2 Total viviendas familiares;7.229
33034  Valdés;2.1 Total viviendas principales;4.898
24184  Valdesamario;2 Total viviendas familiares;538
24184  Valdesamario;2.1 Total viviendas principales;110
49229  Valdescorriel;2 Total viviendas familiares;164
49229  Valdescorriel;2.1 Total viviendas principales;64
19307  Valdesotos;2 Total viviendas familiares;69
19307  Valdesotos;2.1 Total viviendas principales;14
47182  Valdestillas;2 Total viviendas familiares;935
47182  Valdestillas;2.1 Total viviendas principales;650
06138  Valdetorres;2 Total viviendas familiares;726
06138  Valdetorres;2.1 Total viviendas principales;503
28164  Valdetorres de Jarama;2 Total viviendas familiares;2.239
28164  Valdetorres de Jarama;2.1 Total viviendas principales;1.455
16902  Valdetórtola;2 Total viviendas familiares;176
16902  Valdetórtola;2.1 Total viviendas principales;86
34192  Valde-Ucieza;2 Total viviendas familiares;128
34192  Valde-Ucieza;2.1 Total viviendas principales;55
40212  Valdevacas de Montejo;2 Total viviendas familiares;78
40212  Valdevacas de Montejo;2.1 Total viviendas principales;19
40213  Valdevacas y Guijar;2 Total viviendas familiares;102
40213  Valdevacas y Guijar;2.1 Total viviendas principales;52
45179  Valdeverdeja;2 Total viviendas familiares;1.039
45179  Valdeverdeja;2.1 Total viviendas principales;307
24187  Valdevimbre;2 Total viviendas familiares;883
24187  Valdevimbre;2.1 Total viviendas principales;437
09405  Valdezate;2 Total viviendas familiares;183
09405  Valdezate;2.1 Total viviendas principales;69
28165  Valdilecha;2 Total viviendas familiares;1.626
28165  Valdilecha;2.1 Total viviendas principales;1.023
09406  Valdorros;2 Total viviendas familiares;282
09406  Valdorros;2.1 Total viviendas principales;158
15087  Valdoviño;2 Total viviendas familiares;5.283
15087  Valdoviño;2.1 Total viviendas principales;2.590
37338  Valdunciel;2 Total viviendas familiares;136
37338  Valdunciel;2.1 Total viviendas principales;40
47183  Valdunquillo;2 Total viviendas familiares;198
47183  Valdunquillo;2.1 Total viviendas principales;77
46250  Valencia;2 Total viviendas familiares;419.929
46250  Valencia;2.1 Total viviendas principales;328.979
10203  Valencia de Alcántara;2 Total viviendas familiares;3.857
10203  Valencia de Alcántara;2.1 Total viviendas principales;2.430
24188  Valencia de Don Juan;2 Total viviendas familiares;4.069
24188  Valencia de Don Juan;2.1 Total viviendas principales;2.002
06139  Valencia de las Torres;2 Total viviendas familiares;636
06139  Valencia de las Torres;2.1 Total viviendas principales;307
06140  Valencia del Mombuey;2 Total viviendas familiares;520
06140  Valencia del Mombuey;2.1 Total viviendas principales;325
06141  Valencia del Ventoso;2 Total viviendas familiares;1.425
06141  Valencia del Ventoso;2.1 Total viviendas principales;834
41096  Valencina de la Concepción;2 Total viviendas familiares;3.571
41096  Valencina de la Concepción;2.1 Total viviendas principales;2.661
14063  Valenzuela;2 Total viviendas familiares;929
14063  Valenzuela;2.1 Total viviendas principales;579
13088  Valenzuela de Calatrava;2 Total viviendas familiares;483
13088  Valenzuela de Calatrava;2.1 Total viviendas principales;299
16903  Valeras, Las;2 Total viviendas familiares;929
16903  Valeras, Las;2.1 Total viviendas principales;587
37339  Valero;2 Total viviendas familiares;205
37339  Valero;2.1 Total viviendas principales;139
22242  Valfarta;2 Total viviendas familiares;61
22242  Valfarta;2.1 Total viviendas principales;30
19308  Valfermoso de Tajuña;2 Total viviendas familiares;198
19308  Valfermoso de Tajuña;2.1 Total viviendas principales;41
36056  Valga;2 Total viviendas familiares;2.422
36056  Valga;2.1 Total viviendas principales;1.874
26162  Valgañón;2 Total viviendas familiares;253
26162  Valgañón;2.1 Total viviendas principales;62
19309  Valhermoso;2 Total viviendas familiares;85
19309  Valhermoso;2.1 Total viviendas principales;14
16231  Valhermoso de la Fuente;2 Total viviendas familiares;95
16231  Valhermoso de la Fuente;2.1 Total viviendas principales;20
44247  Valjunquera;2 Total viviendas familiares;325
44247  Valjunquera;2.1 Total viviendas principales;156
12124  Vall d'Alba;2 Total viviendas familiares;1.713
12124  Vall d'Alba;2.1 Total viviendas principales;1.168
03134  Vall d'Alcalà, la;2 Total viviendas familiares;190
03134  Vall d'Alcalà, la;2.1 Total viviendas principales;93
12125  Vall de Almonacid;2 Total viviendas familiares;464
12125  Vall de Almonacid;2.1 Total viviendas principales;128
17208  Vall de Bianya, La;2 Total viviendas familiares;686
17208  Vall de Bianya, La;2.1 Total viviendas principales;505
25043  Vall de Boí, La;2 Total viviendas familiares;2.019
25043  Vall de Boí, La;2.1 Total viviendas principales;488
25901  Vall de Cardós;2 Total viviendas familiares;550
25901  Vall de Cardós;2.1 Total viviendas principales;150
03136  Vall de Gallinera;2 Total viviendas familiares;768
03136  Vall de Gallinera;2.1 Total viviendas principales;305
03137  Vall de Laguar, la;2 Total viviendas familiares;492
03137  Vall de Laguar, la;2.1 Total viviendas principales;383
03135  Vall d'Ebo, la;2 Total viviendas familiares;247
03135  Vall d'Ebo, la;2.1 Total viviendas principales;102
17207  Vall d'en Bas, La;2 Total viviendas familiares;1.458
17207  Vall d'en Bas, La;2.1 Total viviendas principales;1.042
12126  Vall d'Uixó, la;2 Total viviendas familiares;16.140
12126  Vall d'Uixó, la;2.1 Total viviendas principales;12.633
46251  Vallada;2 Total viviendas familiares;2.275
46251  Vallada;2.1 Total viviendas principales;1.255
47186  Valladolid;2 Total viviendas familiares;158.168
47186  Valladolid;2.1 Total viviendas principales;129.151
46252  Vallanca;2 Total viviendas familiares;322
46252  Vallanca;2.1 Total viviendas principales;73
09408  Vallarta de Bureba;2 Total viviendas familiares;65
09408  Vallarta de Bureba;2.1 Total viviendas principales;29
12123  Vallat;2 Total viviendas familiares;80
12123  Vallat;2.1 Total viviendas principales;31
08292  Vallbona d'Anoia;2 Total viviendas familiares;682
08292  Vallbona d'Anoia;2.1 Total viviendas principales;543
25238  Vallbona de les Monges;2 Total viviendas familiares;293
25238  Vallbona de les Monges;2.1 Total viviendas principales;121
08293  Vallcebre;2 Total viviendas familiares;205
08293  Vallcebre;2.1 Total viviendas principales;134
43158  Vallclara;2 Total viviendas familiares;159
43158  Vallclara;2.1 Total viviendas principales;60
07063  Valldemossa;2 Total viviendas familiares;1.460
07063  Valldemossa;2.1 Total viviendas principales;818
29093  Valle de Abdalajís;2 Total viviendas familiares;1.426
29093  Valle de Abdalajís;2.1 Total viviendas principales;1.069
16173  Valle de Altomira, El;2 Total viviendas familiares;578
16173  Valle de Altomira, El;2.1 Total viviendas principales;138
22243  Valle de Bardají;2 Total viviendas familiares;15
22243  Valle de Bardají;2.1 Total viviendas principales;14
34196  Valle de Cerrato;2 Total viviendas familiares;112
34196  Valle de Cerrato;2.1 Total viviendas principales;38
22901  Valle de Hecho;2 Total viviendas familiares;909
22901  Valle de Hecho;2.1 Total viviendas principales;356
06146  Valle de la Serena;2 Total viviendas familiares;1.400
06146  Valle de la Serena;2.1 Total viviendas principales;602
09904  Valle de las Navas;2 Total viviendas familiares;564
09904  Valle de las Navas;2.1 Total viviendas principales;289
22244  Valle de Lierp;2 Total viviendas familiares;73
22244  Valle de Lierp;2.1 Total viviendas principales;22
09908  Valle de Losa;2 Total viviendas familiares;1.203
09908  Valle de Losa;2.1 Total viviendas principales;242
09409  Valle de Manzanedo;2 Total viviendas familiares;346
09409  Valle de Manzanedo;2.1 Total viviendas principales;90
06147  Valle de Matamoros;2 Total viviendas familiares;356
06147  Valle de Matamoros;2.1 Total viviendas principales;198
09410  Valle de Mena;2 Total viviendas familiares;3.526
09410  Valle de Mena;2.1 Total viviendas principales;1.605
09411  Valle de Oca;2 Total viviendas familiares;207
09411  Valle de Oca;2.1 Total viviendas principales;80
06148  Valle de Santa Ana;2 Total viviendas familiares;780
06148  Valle de Santa Ana;2.1 Total viviendas principales;474
09902  Valle de Santibáñez;2 Total viviendas familiares;568
09902  Valle de Santibáñez;2.1 Total viviendas principales;233
09905  Valle de Sedano;2 Total viviendas familiares;898
09905  Valle de Sedano;2.1 Total viviendas principales;245
40218  Valle de Tabladillo;2 Total viviendas familiares;179
40218  Valle de Tabladillo;2.1 Total viviendas principales;58
09412  Valle de Tobalina;2 Total viviendas familiares;1.293
09412  Valle de Tobalina;2.1 Total viviendas principales;446
48080  Valle de Trápaga-Trapagaran;2 Total viviendas familiares;5.578
48080  Valle de Trápaga-Trapagaran;2.1 Total viviendas principales;4.899
09413  Valle de Valdebezana;2 Total viviendas familiares;1.066
09413  Valle de Valdebezana;2.1 Total viviendas principales;231
09414  Valle de Valdelaguna;2 Total viviendas familiares;304
09414  Valle de Valdelaguna;2.1 Total viviendas principales;99
09415  Valle de Valdelucio;2 Total viviendas familiares;274
09415  Valle de Valdelucio;2.1 Total viviendas principales;131
39101  Valle de Villaverde;2 Total viviendas familiares;313
39101  Valle de Villaverde;2.1 Total viviendas principales;172
31260  Valle de Yerri/Deierri;2 Total viviendas familiares;973
31260  Valle de Yerri/Deierri;2.1 Total viviendas principales;574
09416  Valle de Zamanzas;2 Total viviendas familiares;210
09416  Valle de Zamanzas;2.1 Total viviendas principales;41
34902  Valle del Retortillo;2 Total viviendas familiares;176
34902  Valle del Retortillo;2.1 Total viviendas principales;83
18907  Valle del Zalabí;2 Total viviendas familiares;1.390
18907  Valle del Zalabí;2.1 Total viviendas principales;987
38049  Valle Gran Rey;2 Total viviendas familiares;4.254
